player_id,player,season,age,pts_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,x2p_percent,x3p_percent,ft_percent,x3p_ar,f_tr,usg_percent,orb_percent,drb_percent,ows,dws,obpm,dbpm,all_nba
bennean01,Anthony Bennett,2015,21.0,5.2,3.8,0.8,0.5,0.3,0.431,0.304,0.641,0.077,0.215,17.8,6.5,21.6,-0.1,0.4,-2.5,-1.4,0
beverpa01,Patrick Beverley,2015,26.0,10.1,4.2,3.4,1.1,0.4,0.426,0.356,0.75,0.607,0.113,16.1,4.3,10.8,1.7,1.8,-0.4,0.5,0
biyombi01,Bismack Biyombo,2015,22.0,4.8,6.4,0.3,0.3,1.5,0.543,0.0,0.583,0.0,0.941,11.6,13.7,22.6,1.8,2.2,-2.4,1.3,0
blackta01,Tarik Black,2015,23.0,6.0,5.8,0.7,0.3,0.4,0.577,0.0,0.551,0.004,0.432,13.8,12.8,21.4,2.2,0.9,-1.0,-1.1,0
blakest01,Steve Blake,2015,34.0,4.3,1.7,3.6,0.5,0.1,0.417,0.352,0.707,0.67,0.125,13.2,1.1,8.3,0.7,1.4,-1.8,0.0,0
bledser01,Eric Bledsoe,2015,25.0,17.0,5.2,6.1,1.6,0.6,0.491,0.324,0.8,0.26,0.422,23.7,2.8,13.9,4.1,2.9,1.6,0.5,0
bogdabo02,Bojan Bogdanović,2015,25.0,9.0,2.7,0.9,0.4,0.1,0.531,0.355,0.821,0.444,0.184,17.2,3.0,9.8,1.7,0.7,-0.3,-1.4,0
bogutan01,Andrew Bogut,2015,30.0,6.3,8.1,2.7,0.6,1.7,0.563,0.0,0.524,0.0,0.118,13.2,9.9,26.5,1.9,3.4,-0.9,3.3,0
bonnema01,Matt Bonner,2015,34.0,3.7,1.6,0.7,0.1,0.2,0.462,0.365,0.811,0.548,0.161,12.5,3.6,10.2,1.3,0.9,-0.5,-0.2,0
booketr01,Trevor Booker,2015,27.0,7.2,5.0,1.1,0.5,0.5,0.518,0.345,0.581,0.181,0.319,18.1,10.3,19.0,1.7,1.9,-0.3,0.1,0
boozeca01,Carlos Boozer,2015,33.0,11.8,6.8,1.3,0.6,0.2,0.499,0.0,0.627,0.0,0.202,23.7,7.0,25.2,1.2,1.0,-0.5,-1.2,0
bradlav01,Avery Bradley,2015,24.0,13.9,3.1,1.8,1.1,0.2,0.47,0.352,0.79,0.348,0.099,21.0,2.0,8.9,0.4,2.1,-1.5,-0.6,0
breweco01,Corey Brewer,2015,28.0,11.7,3.65,1.95,1.25,0.25,0.497,0.276,0.754,0.313,0.268,22.0,4.0,11.9,1.0,1.85,-1.0,-0.05,0
brookaa01,Aaron Brooks,2015,30.0,11.6,2.0,3.2,0.7,0.2,0.442,0.387,0.833,0.383,0.213,25.0,1.9,7.5,1.7,1.5,0.3,-1.1,0
brownma02,Markel Brown,2015,23.0,4.6,2.3,0.8,0.7,0.3,0.404,0.266,0.825,0.305,0.271,15.3,2.3,13.0,-0.2,0.7,-3.0,0.4,0
budinch01,Chase Budinger,2015,26.0,6.8,3.0,1.0,0.7,0.1,0.474,0.364,0.827,0.367,0.208,16.3,2.8,15.1,1.1,0.2,-0.5,-1.3,0
burketr01,Trey Burke,2015,22.0,12.8,2.7,4.3,0.9,0.2,0.4,0.318,0.752,0.388,0.144,23.9,1.6,8.7,0.8,1.6,-0.1,-1.3,0
butleca01,Caron Butler,2015,34.0,5.9,2.5,1.0,0.6,0.1,0.441,0.379,0.902,0.553,0.154,12.9,1.4,12.2,1.3,1.0,-1.9,0.1,0
butleji01,Jimmy Butler,2015,25.0,20.0,5.8,3.3,1.8,0.6,0.484,0.378,0.834,0.212,0.508,21.6,5.1,11.2,8.2,3.0,3.4,1.2,0
butlera01,Rasual Butler,2015,35.0,7.7,2.6,0.8,0.4,0.3,0.45,0.387,0.791,0.455,0.13,17.9,2.1,12.4,1.0,1.6,-0.5,-0.3,0
